system,public_source,adopted_principle,excluded_pattern,license_note
Obsidian,https://obsidian.md/help/plugins/graph,linked_knowledge_navigation,visual_graph_as_proof,docs_reference_only
Claude_Code,https://docs.anthropic.com/en/docs/claude-code/memory,layered_project_memory,hidden_unbounded_memory,docs_reference_only
Letta,https://github.com/letta-ai/letta,explicit_agent_memory_blocks,copying_product_identity,Apache-2.0_verify_revision
LangGraph,https://docs.langchain.com/oss/python/concepts/memory,thread_and_long_term_scopes,framework_lock_in,docs_reference_only
LlamaIndex,https://developers.llamaindex.ai/python/framework/module_guides/deploying/agents/memory/,composable_memory_components,uncited_retrieval,docs_reference_only
GraphRAG,https://microsoft.github.io/graphrag/,graph_enriched_retrieval,assuming_graph_quality,MIT_verify_revision
Zep,https://help.getzep.com/,temporal_context_and_facts,closed_service_dependency,docs_reference_only
Cognee,https://github.com/topoteretes/cognee,knowledge_graph_pipeline,unverified_benchmark_claims,Apache-2.0_verify_revision
Mem0,https://github.com/mem0ai/mem0,selective_memory_extraction,automatic_training_permission,Apache-2.0_verify_revision
GitHub,https://docs.github.com/en/repositories/working-with-files/using-files/navigating-code-on-github,repository_graph_navigation,treating_code_links_as_semantics,docs_reference_only
Sourcegraph,https://docs.sourcegraph.com/user/code_intelligence,cross_repository_code_intelligence,proprietary_feature_copying,docs_reference_only
Temporal,https://docs.temporal.io/evaluate/understanding-temporal,durable_replayable_workflows,claiming_exactly_once_side_effects,docs_reference_only
Moonshot_Kimi_K2_7_Code,https://huggingface.co/moonshotai/Kimi-K2.7-Code,agentic_code_provider_lane_with_long_context_and_tool_conformance,copying_weights_brand_or_benchmarks_without_admission_receipts,modified_MIT_verify_pinned_model_revision
Moonshot_Kimi_Linear,https://github.com/MoonshotAI/Kimi-Linear,hybrid_linear_attention_and_bounded_kv_state,importing_unbenchmarked_custom_attention_kernels,license_verify_pinned_revision
Moonshot_Kimi_Agent_SDK,https://github.com/MoonshotAI/kimi-agent-sdk,streamed_tool_approval_and_multi_runtime_session_contracts,making_a_vendor_cli_the_control_plane,Apache-2.0_verify_revision
Qwen_Agent,https://github.com/QwenLM/Qwen-Agent,provider_neutral_MCP_function_calling_and_tool_adapters,shipping_an_unsandboxed_code_interpreter,license_verify_pinned_revision
DeepSeek_DeepGEMM,https://github.com/deepseek-ai/DeepGEMM,benchmark_gated_gpu_kernel_admission,vendoring_hardware_specific_kernels_without_fit_tests,MIT_verify_revision
DeepSeek_DeepEP,https://github.com/deepseek-ai/DeepEP,topology_aware_expert_parallel_communication,assuming_cluster_or_accelerator_compatibility,MIT_verify_revision
DeepSeek_Engram,https://github.com/deepseek-ai/Engram,conditional_memory_via_lookup_sparsity,automatic_memory_or_training_without_governance,Apache-2.0_verify_revision
MiniMax_M2,https://github.com/MiniMax-AI/MiniMax-M2,interleaved_reasoning_tool_call_and_serving_conformance,persisting_hidden_reasoning_as_public_proof,custom_model_license_verify_pinned_revision
